stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_timezone,stop_url,parent_station,location_type
345,345,CASTELFORTE - GIARDINO DELLA CONCORDIA,,38.176255,13.32601833,1,1,Europe/Rome,,,0
347,347,CASTELFORTE - P.M. 64,,38.18595986,13.32358494,1,1,Europe/Rome,,,0
340,340,CASTELFORTE - BELLINZONA,,38.17783833,13.32547224,1,1,Europe/Rome,,,0
342,342,CASTELFORTE - CHIRONE,,38.19512906,13.31551149,1,1,Europe/Rome,,,0
343,343,CASTELFORTE - DE FONSECA,,38.18095789,13.32512721,1,1,Europe/Rome,,,0
349,349,CASTELFORTE - TRAPANI,,38.17456833,13.32646167,1,1,Europe/Rome,,,0
298,298,CALATAFIMI - RISERVA REALE,,38.09881956,13.31963141,1,1,Europe/Rome,,,0
299,299,CALATAFIMI - ROCCA,,38.09448191,13.30929151,1,1,Europe/Rome,,,0
296,296,CALATAFIMI - RAGUSA MOLETI,,38.10710667,13.34017333,1,1,Europe/Rome,,,0
297,297,CALATAFIMI - REGIONE SICILIANA,,38.10266315,13.3291452,1,1,Europe/Rome,,,0
294,294,CALATAFIMI - PORTA NUOVA,,38.111615,13.3515,1,1,Europe/Rome,,,0
295,295,CALATAFIMI - RAGUSA MOLETI,,38.10664801,13.33917797,1,1,Europe/Rome,,,0
292,292,CALATAFIMI - PINDEMONTE,,38.10748378,13.34125936,1,1,Europe/Rome,,,0
293,293,CALATAFIMI - PINDEMONTE,,38.10776,13.34185167,1,1,Europe/Rome,,,0
290,290,CALATAFIMI - PIETRATAGLIATA,,38.10025663,13.32346511,1,1,Europe/Rome,,,0
291,291,CALATAFIMI - PIETRATAGLIATA,,38.10016621,13.3229949,1,1,Europe/Rome,,,0
270,270,CALATAFIMI - CASERMA TUKORY,,38.10817968,13.34300855,1,1,Europe/Rome,,,0
271,271,CALATAFIMI - CASERMA TUKORY,,38.10848667,13.34362,1,1,Europe/Rome,,,0
272,272,CALATAFIMI - CHINNICI,,38.09935991,13.3210047,1,1,Europe/Rome,,,0
273,273,CALATAFIMI - DE FILIPPO,,38.10201813,13.32783379,1,1,Europe/Rome,,,0
274,274,CALATAFIMI - DE FILIPPO,,38.1021091,13.32779337,1,1,Europe/Rome,,,0
275,275,CALATAFIMI - DRAGO,,38.10361083,13.33177064,1,1,Europe/Rome,,,0
276,276,CALATAFIMI - FONTANA DEL PESCATORE,,38.09235667,13.30573833,1,1,Europe/Rome,,,0
277,277,CALATAFIMI - FONTANA DEL PESCATORE,,38.09244667,13.30578167,1,1,Europe/Rome,,,0
278,278,CALATAFIMI - INDIPENDENZA,,38.11032025,13.34819287,1,1,Europe/Rome,,,0
279,279,CALATAFIMI - LENIN MANCUSO,,38.09949989,13.32160327,1,1,Europe/Rome,,,0
2268,2268,MARCIANO,,38.18351119,13.31493477,1,1,Europe/Rome,,,0
2269,2269,LUSSORIO CAU - BASILE,,38.0946984,13.34166355,1,1,Europe/Rome,,,0
1132,1132,MESSINA MARINE - ACQUA DEI CORSARI,,38.09679833,13.42648833,1,1,Europe/Rome,,,0
2267,2267,ALBANESE - DELLA PACE,,38.13154069,13.35837328,1,1,Europe/Rome,,,0
108,108,AQUINO - CARTIERA,,38.075835,13.31023333,1,1,Europe/Rome,,,0
60000,,STADIO - FANTE,,38.1527429862,13.3402113192,1,1,Europe/Rome,,,1
102,102,AQUILEIA - DELLE ALPI,,38.14356,13.33190167,1,1,Europe/Rome,,,0
103,103,AQUILEIA - LAZIO,,38.14161833,13.33345667,1,1,Europe/Rome,,,0
100,100,APOLLO - AGLAIA,,38.19936,13.317285,1,1,Europe/Rome,,,0
101,101,APOLLO - CATALANO,,38.19812167,13.31454,1,1,Europe/Rome,,,0
106,106,AQUINO - CALO',,38.07461261,13.30829367,1,1,Europe/Rome,,,0
107,107,AQUINO - CARTIERA,,38.07588833,13.31022833,1,1,Europe/Rome,,,0
104,104,AQUILEIA - LAZIO,,38.14174833,13.33316833,1,1,Europe/Rome,,,0
105,105,AQUINO - CALO',,38.07466012,13.30828026,1,1,Europe/Rome,,,0
2046,2046,TORRE - LI GRECI,,38.20863833,13.328705,1,1,Europe/Rome,,,0
2047,2047,TORRE - PIANO GALLO ESTERNA,,38.21038392,13.32802802,1,1,Europe/Rome,,,0
2044,2044,TOMMASO NATALE,,38.17971604,13.29543382,1,1,Europe/Rome,,,0
2045,2045,TOMMASO NATALE,,38.17964245,13.29538326,1,1,Europe/Rome,,,0
2042,2042,TOMMASO NATALE - SOCRATE,,38.18728745,13.28939029,1,1,Europe/Rome,,,0
2043,2043,TOMMASO NATALE - SOCRATE,,38.18660313,13.28983847,1,1,Europe/Rome,,,0
2040,2040,TOMMASO NATALE - PASSAGGIO A LIVELLO,,38.18466855,13.29131126,1,1,Europe/Rome,,,0
2041,2041,TOMMASO NATALE - PASSAGGIO A LIVELLO,,38.1848799833,13.2910205967,1,1,Europe/Rome,,,0
2048,2048,TORRE - PIANO GALLO INTERNA,,38.21045333,13.327935,1,1,Europe/Rome,,,0
2049,2049,TORRE MONDELLO - TETI,,38.20634,13.325295,1,1,Europe/Rome,,,0
1210,1210,MONETA - ERMELLINO,,38.08523322,13.35324602,1,1,Europe/Rome,,,0
99,99,ANTILOPE - GUIDO ROSSA,,38.08233333,13.35709167,1,1,Europe/Rome,,,0
98,98,ANTILOPE - ERMELLINO,,38.08405111,13.35620732,1,1,Europe/Rome,,,0
91,91,AMMIRAGLIO RIZZO - JUNG,,38.14390567,13.3626812525,1,1,Europe/Rome,,,0
90,90,AMMIRAGLIO RIZZO - GENERALE CASCINO,,38.14350667,13.35926167,1,1,Europe/Rome,,,0
93,93,AMMIRAGLIO RIZZO - PIAZZA ACQUASANTA,,38.1443358833,13.36769188,1,1,Europe/Rome,,,0
92,92,AMMIRAGLIO RIZZO - JUNG,,38.144015,13.36322167,1,1,Europe/Rome,,,0
95,95,ANTIGONE - CASTELFORTE,,38.19519833,13.31479833,1,1,Europe/Rome,,,0
94,94,AMMIRAGLIO RIZZO - PIAZZA ACQUASANTA,,38.14434667,13.367305,1,1,Europe/Rome,,,0
97,97,ANTIGONE - PORTA DI MARE,,38.19434384,13.31336707,1,1,Europe/Rome,,,0
96,96,ANTIGONE - NICOTI,,38.193225,13.31168833,1,1,Europe/Rome,,,0
1991,1991,STRASBURGO - BELGIO,,38.15245333,13.33085833,1,1,Europe/Rome,,,0
1990,1990,STRASBURGO - ALDISIO,,38.15452,13.32865833,1,1,Europe/Rome,,,0
1621,1621,RAMPOLLA - MONTINI,,38.14578156,13.36795136,1,1,Europe/Rome,,,0
1992,1992,STRASBURGO - BELGIO,,38.15232667,13.33076167,1,1,Europe/Rome,,,0
1627,1627,REGINA ELENA - IRIS,,38.19975554,13.3283465175,1,1,Europe/Rome,,,0
1626,1626,REGINA ELENA - DELLE ROSE,,38.2009434287,13.3272252313,1,1,Europe/Rome,,,0
1625,1625,REGINA ELENA - COMMISSARIATO P.S.,,38.1984982575,13.3297840925,1,1,Europe/Rome,,,0
1624,1624,REGINA ELENA - CIRCE,,38.2036042622,13.3255298144,1,1,Europe/Rome,,,0
1999,1999,STRASBURGO - FRANCIA,,38.15630833,13.32714833,1,1,Europe/Rome,,,0
1998,1998,STRASBURGO - DE GASPERI,,38.14959,13.33264667,1,1,Europe/Rome,,,0
1629,1629,REGINA ELENA - STABILIMENTO,,38.2028420656,13.3261989478,1,1,Europe/Rome,,,0
559,559,CROCE ROSSA - DE GASPERI,,38.15061826,13.33889902,1,1,Europe/Rome,,,0
558,558,CRISTOFORO COLOMBO 3,,38.17640667,13.366015,1,1,Europe/Rome,,,0
555,555,CRISTOFORO COLOMBO 5,,38.17147333,13.36639167,1,1,Europe/Rome,,,0
554,554,CRISTOFORO COLOMBO 4,,38.17296035,13.36607248,1,1,Europe/Rome,,,0
557,557,CRISTOFORO COLOMBO 2,,38.18048,13.36560333,1,1,Europe/Rome,,,0
551,551,CRISTOFORO COLOMBO 1,,38.18454833,13.36306333,1,1,Europe/Rome,,,0
550,550,CRISTOFORO COLOMBO 5,,38.17145333,13.36630333,1,1,Europe/Rome,,,0
553,553,CRISTOFORO COLOMBO 3,,38.17657021,13.36606443,1,1,Europe/Rome,,,0
552,552,CRISTOFORO COLOMBO 2,,38.18047085,13.365670145,1,1,Europe/Rome,,,0
1191,1191,MICHELANGELO 7,,38.13719736,13.32015366,1,1,Europe/Rome,,,0
1190,1190,MICHELANGELO 6,,38.13609462,13.31641557,1,1,Europe/Rome,,,0
1192,1192,MICHELE PIAZZA,,38.116215,13.34420667,1,1,Europe/Rome,,,0
1759,1759,ROMA - BELMONTE,,38.12496833,13.358765,1,1,Europe/Rome,,,0
1757,1757,ROMA - BANDIERA,,38.11865806,13.36254001,1,1,Europe/Rome,,,0
1756,1756,ROCCO JEMMA,,38.10362567,13.36516052,1,1,Europe/Rome,,,0
1755,1755,ROCCELLA - VITALI,,38.09909167,13.350945,1,1,Europe/Rome,,,0
1754,1754,ROCCELLA - VITALI,,38.09833,13.35062167,1,1,Europe/Rome,,,0
1752,1752,ROCCELLA - S. R. ARCANGELO,,38.09763443,13.3500959,1,1,Europe/Rome,,,0
1751,1751,ROCCELLA - S. R. ARCANGELO,,38.09711833,13.34936167,1,1,Europe/Rome,,,0
1750,1750,ROCCELLA - RAITI,,38.0960967,13.34819555,1,1,Europe/Rome,,,0
1177,1177,MICHELANGELO - CAVA,,38.13274454,13.30817167,1,1,Europe/Rome,,,0
1176,1176,MICHELANGELO - CASALINI,,38.13448698,13.31272891,1,1,Europe/Rome,,,0
1175,1175,MICHELANGELO - BRUNELLESCHI,,38.13558015,13.31480236,1,1,Europe/Rome,,,0
1174,1174,MICHELANGELO - BERNINI,,38.13787553,13.32303724,1,1,Europe/Rome,,,0
1173,1173,MICHELANGELO - BADIA,,38.13669709,13.31799667,1,1,Europe/Rome,,,0
1172,1172,MICHELANGELO - BADIA,,38.13715658,13.31918136,1,1,Europe/Rome,,,0
1171,1171,MESSINA MARINE 1,,38.0973,13.41867667,1,1,Europe/Rome,,,0
1170,1170,MESSINA MARINE 2,,38.09803833,13.41099667,1,1,Europe/Rome,,,0
1179,1179,MICHELANGELO - FRONTINI,,38.13288816,13.30903043,1,1,Europe/Rome,,,0
1178,1178,MICHELANGELO - FELICE,,38.13851852,13.32578688,1,1,Europe/Rome,,,0
1283,1283,OLIO DI LINO 5,,38.08087915,13.31893936,1,1,Europe/Rome,,,0
1282,1282,OLIO DI LINO 4,,38.08130246,13.32069889,1,1,Europe/Rome,,,0
1289,1289,ORETO - BERGAMO,,38.10435667,13.36881667,1,1,Europe/Rome,,,0
1288,1288,ORETO - BERGAMO,,38.10487,13.368395,1,1,Europe/Rome,,,0
1579,1579,POLIBIO - EOLO,,38.197835,13.30859,1,1,Europe/Rome,,,0
1578,1578,POLIBIO - AMARILLI,,38.19731,13307,1,1,Europe/Rome,,,0
689,689,DEL FANTE - DEL BERSAGLIERE,,38.05206215,13.30962926,1,1,Europe/Rome,,,0
688,688,DEL FANTE - DEI CORAZZIERI,,38.05541333,13.31223,1,1,Europe/Rome,,,0
1573,1573,PLAUTO - BAIA DEL CORALLO,,38.19941234,13.26970473,1,1,Europe/Rome,,,0
1572,1572,PITRE' 6,,38.11004333,13.31827333,1,1,Europe/Rome,,,0
1571,1571,PITRE' 5,,38.110365,13.32227667,1,1,Europe/Rome,,,0
1570,1570,PITRE' 3,,38.11035333,13.32294,1,1,Europe/Rome,,,0
1577,1577,PLAUTO - LEONE,,38.19782833,13.27234167,1,1,Europe/Rome,,,0
1576,1576,PLAUTO - FLORIO,,38.19840667,13.27098667,1,1,Europe/Rome,,,0
1575,1575,PLAUTO - FLORIO,,38.19876,13.27060667,1,1,Europe/Rome,,,0
1574,1574,PLAUTO - BAIA DEL CORALLO,,38.19904241,13.27013388,1,1,Europe/Rome,,,0
1348,1348,PANDOLFINI,,38.1131117,13.30643253,1,1,Europe/Rome,,,0
1240,1240,NENNI - CROCE ROSSA ITALIANA,,38.15504333,13.32004333,1,1,Europe/Rome,,,0
1223,1223,MORMINO,,38.17547113,13.31196559,1,1,Europe/Rome,,,0
1222,1222,MONTUORO,,38.12526566,13.33083862,1,1,Europe/Rome,,,0
1221,1221,MONTEPELLEGRINO - MONTALBO,,38.13803965,13.35825652,1,1,Europe/Rome,,,0
1220,1220,MONTEPELLEGRINO - MONTALBO,,38.13745448,13.35858643,1,1,Europe/Rome,,,0
1371,1371,PAPA SERGIO - VILLA IGIEA,,38.14566167,13.36998833,1,1,Europe/Rome,,,0
1370,1370,PAPA SERGIO - TONNARA,,38.15145167,13.370695,1,1,Europe/Rome,,,0
1373,1373,PAPIRETO - PIAZZA DEL NOVIZIATO,,38.11679333,13.35197167,1,1,Europe/Rome,,,0
404,404,CENTURIPE - AUGUSTA,,38.13225589,13.29363138,1,1,Europe/Rome,,,0
402,402,CENTURIPE - ALIA,,38.13227443,13.29573935,1,1,Europe/Rome,,,0
1377,1377,PARCHEGGIO BASILE CORSIA ESTERNA,,38.09775167,13.345455,1,1,,,30000,0
400,400,CENTURIPE - ACIREALE,,38.13115351,13.30093101,1,1,Europe/Rome,,,0
1379,1379,PARCHEGGIO DEGLI EMIRI,,38.11638167,13.33168167,1,1,,,40000,0
1378,1378,PARCHEGGIO BASILE CORSIA INTERNA,,38.09788333,13.34533667,1,1,,,30000,0
452,452,CIACULLI 5,,38.08052234,13.39913204,1,1,Europe/Rome,,,0
453,453,CIACULLI 5,,38.08054667,13.39916833,1,1,Europe/Rome,,,0
454,454,CIACULLI 6,,38.07605894,13.40666369,1,1,Europe/Rome,,,0
372,372,CASTELLANA - TEMBIEN,,38.12561923,13.30892667,1,1,Europe/Rome,,,0
376,376,CASTELLANA - VILLA DELLE GINESTRE,,38.12574478,13.29671726,1,1,Europe/Rome,,,0
390,390,CAVOUR,,38.12148497,13.35908431,1,1,Europe/Rome,,,0
398,398,CENTORBE,,38.133445,13.307915,1,1,Europe/Rome,,,0
244,244,BRIGATA VERONA - SICILIA,,38.14468521,13.34064427,1,1,Europe/Rome,,,0
243,243,BRIGATA VERONA - SICILIA,,38.14453333,13.34050203,1,1,Europe/Rome,,,0
242,242,BRIGATA VERONA - LIGURIA,,38.14325253,13.33853745,1,1,Europe/Rome,,,0
249,249,BRUNELLESCHI - BESIO,,38.13702487,13.31355805,1,1,Europe/Rome,,,0
248,248,BRUNELLESCHI - BESIO,,38.13732333,13.31366947,1,1,Europe/Rome,,,0
2275,2275,LEVRIERE - BASSOTTO,,38.08464037,13.36584925,1,1,Europe/Rome,,,0
2274,2274,LEVRIERE - SEGUGIO,,38.08173777,13.36350683,1,1,Europe/Rome,,,0
2277,2277,LAUDICINA - BERTETT,,38.09706333,13.41323833,1,1,Europe/Rome,,,0
2276,2276,AUSONIA - VALDEMONE,,38.14752982,13.33665173,1,1,Europe/Rome,,,0
2271,2271,BASILE - RE RUGGERO,,38.10743958,13.35428791,1,1,Europe/Rome,,,0
2270,2270,LUSSORIO CAU - ZACCO,,38.09314477,13.34394343,1,1,Europe/Rome,,,0
2273,2273,LEVRIERE - ANTILOPE,,38.08074013,13.36102363,1,1,Europe/Rome,,,0
2272,2272,ANTILOPE - ROSSA,,38.08218335,13.35705816,1,1,Europe/Rome,,,0
2279,2279,VILLAGRAZIA - SAN FRANCESCO DI SALES,,38.08661904,13.34529721,1,1,Europe/Rome,,,0
2278,2278,ALTOFONTE - DI FACCIO,,38.0770623,13.32601463,1,1,Europe/Rome,,,0
178,178,BASILE - PARCHEGGIO BASILE,,38.09755667,13.34550833,1,1,Europe/Rome,,,0
177,177,BASILE - MEDAGLIE D'ORO,,38.09649776,13.3437109,1,1,Europe/Rome,,,0
176,176,BASILE - FACOLTA' DI LETTERE,,38.10283946,13.34879905,1,1,Europe/Rome,,,0
175,175,BASILE - FACOLTA' DI INGEGNERIA,,38.10545133,13.35137799,1,1,Europe/Rome,,,0
174,174,BASILE - FACOLTA' DI INGEGNERIA,,38.10368,13.34967333,1,1,Europe/Rome,,,0
173,173,BASILE - FACOLTA' DI ECONOMIA E COMMERCIO,,38.10424667,13.35003,1,1,Europe/Rome,,,0
172,172,BASILE - BRASA,,38.09564498,13.34209621,1,1,Europe/Rome,,,0
2051,2051,TORRETTA,,38.19772833,13.27302,1,1,Europe/Rome,,,0
1502,1502,PIAZZA TOMMASO NATALE - PIAZZA MANDORLE,,38.18839694,13.28802154,1,1,Europe/Rome,,,0
2053,2053,TORRETTA - COSMA E DAMIANO,,38.19842902,13.27615678,1,1,Europe/Rome,,,0
2052,2052,TORRETTA - CATULLO,,38.19798742,13.27473924,1,1,Europe/Rome,,,0
2055,2055,TRABUCCO - GIUFFRE',,38.14953167,13.315465,1,1,Europe/Rome,,,0
2054,2054,TRABUCCO - CERVELLO,,38.14858833,13.31538167,1,1,Europe/Rome,,,0
2057,2057,TRABUCCO - PRESTIGIACOMO,,38.14725833,13.31553167,1,1,Europe/Rome,,,0
2056,2056,TRABUCCO - OSPEDALE CERVELLO,,38.15385333,13.31566333,1,1,Europe/Rome,,,0
2059,2059,TRABUCCO - ROENTGEN,,38.151395,13.31549,1,1,Europe/Rome,,,0
1501,1501,PIAZZA TOMMASO NATALE - PIAZZA MANDORLE,,38.18852309,13.28796818,1,1,Europe/Rome,,,0
1506,1506,PIAZZA VILLACIAMBRA,,38.05950885,13.31783026,1,1,Europe/Rome,,,0
651,651,DEI MILLE - SCUOLA NATOLI,,38.090801,13.4145844,1,1,Europe/Rome,,,0
1972,1972,STAZIONE CENTRALE - ARDIZZONE 2,,38.10997836,13.36617172,1,1,,,20000,0
1971,1971,STAZIONE CENTRALE - ARDIZZONE 1,,38.10996333,13.36615333,1,1,,,20000,0
1970,1970,STADIO,,38.15336667,13.34013833,1,1,,,60000,0
1968,1968,STABILE - PIAZZALE UNGHERIA,,38.1220902,13.35540399,1,1,Europe/Rome,,,0
1619,1619,RAMPOLLA - BONANNO,,38.14752813,13.3660537,1,1,Europe/Rome,,,0
