block_id,route_id,original_trip_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_581,ARANC,20795,1,PORTA FELICE,ARANC1,FE_merged_80004,20795_merged_97075
b_740,628P,9498,1,ISOLA DELLE FEMMINE,628P1,FR_merged_80003,9498_merged_98909
b_655,N22,,0,VILLA CIAMBRA,N220,FR_merged_80003,11543
a_279,241,16735,1,PARCHEGGIO ORETO,2411,FR_merged_80001,16735_merged_86228
a_654,N22,,0,VILLA CIAMBRA,N220,FR_merged_80001,11541
a_655,N22,,0,VILLA CIAMBRA,N220,FR_merged_80001,11547
a_655,N22,,0,VILLA CIAMBRA,N220,FR_merged_80001,11548
b_260,234,16315,1,VIA ORETO,2341,FR_merged_80003,16315_merged_101212
b_106,106,2203,0,STADIO,1060,FE_merged_80004,2203_merged_99539
b_98,104,13802,1,PARCHEGGIO BASILE,1041,FR_merged_80003,13802_merged_102167
b_261,234,4930,0,STAZIONE CENTRALE,2340,FR_merged_80003,4930_merged_93012
b_336,327,17736,1,BOCCADIFALCO,3271,FE_merged_80004,17736_merged_93960
b_425,603,8050,0,MONDELLO,6030,FE_merged_80004,8050_merged_92175
a_214,224,15682,0,STAZIONE CENTRALE,2240,FE_merged_80002,15682_merged_87350
a_700,TRAM3,12843,1,CEP,TRAM31,FR_merged_80001,12843_merged_86354
a_40,101,878,1,STADIO,1011,FE_merged_80002,878_merged_80131
b_610,N11,21240,1,CASA DEL SOLE,N111,FE_merged_80004,21240_merged_100428
b_464,616,8601,0,BARCARELLO,6160,FE_merged_80004,8601_merged_98031
b_391,529,18633,1,JOHN LENNON,5291,FR_merged_80003,18633_merged_99882
b_327,309,17594,1,PARCHEGGIO BASILE,3091,FR_merged_80003,17594_merged_93102
a_351,380,6762,0,MOLARA,3800,FR_merged_80001,6762_merged_86224
a_133,108,2583,0,POLITEAMA,1080,FE_merged_80002,2583_merged_84638
b_279,241,5347,0,FALSOMIELE,2410,FR_merged_80003,5347_merged_93713
b_588,ARANC,20893,1,PORTA FELICE,ARANC1,FR_merged_80003,20893_merged_97344
a_8,100,13174,1,VIA ORETO,1001,FR_merged_80001,13174_merged_81874
a_271,237,5150,0,STAZIONE CENTRALE,2370,FE_merged_80002,5150_merged_91146
a_741,628P,9531,0,STADIO,628P0,FR_merged_80001,9531_merged_85899
b_543,721,10135,0,ACQUASANTA,7210,FR_merged_80003,10135_merged_99634
b_157,110,3092,0,INDIPENDENZA,1100,FR_merged_80003,3092_merged_98768
b_56,101,1271,0,STAZIONE CENTRALE,1010,FR_merged_80003,1271_merged_101309
b_454,614,8475,0,PARTANNA - MONDELLO,6140,FR_merged_80003,8475_merged_95054
b_519,645,,1,STADIO,6451,FE_merged_80004,19970
a_452,614,19400,1,STADIO,6141,FE_merged_80002,19400_merged_82793
b_350,380,6731,0,MOLARA,3800,FR_merged_80003,6731_merged_92377
b_674,TRAM1,,1,ROCCELLA,TRAM11,FE_merged_80004,12019
a_436,606,19202,1,STADIO,6061,FE_merged_80002,19202_merged_81530
b_505,628,9373,1,SFERRACAVALLO,6281,FE_merged_80004,9373_merged_100810
a_673,TRAM1,,0,STAZIONE CENTRALE,TRAM10,FE_merged_80002,12017
a_289,243,5544,0,BONAGIA,2430,FR_merged_80001,5544_merged_88034
b_286,243,16869,1,STAZIONE CENTRALE,2431,FE_merged_80004,16869_merged_99615
b_330,309,17634,1,PARCHEGGIO BASILE,3091,FR_merged_80003,17634_merged_97322
a_336,327,17733,1,BOCCADIFALCO,3271,FE_merged_80002,17733_merged_82675
b_226,226,4400,0,POMARA,2260,FR_merged_80003,4400_merged_97917
a_301,246,17166,1,OSPEDALE CIVICO,2461,FR_merged_80001,17166_merged_80795
a_154,110,3016,0,INDIPENDENZA,1100,FE_merged_80002,3016_merged_86518
b_476,619,19684,1,STADIO,6191,FE_merged_80004,19684_merged_98476
b_4,100,31,0,TOMMASO NATALE,1000,FE_merged_80004,31_merged_99125
a_449,614,19363,1,STADIO,6141,FE_merged_80002,19363_merged_82965
b_521,645,9715,0,PARTANNA,6450,FR_merged_80003,9715_merged_92274
a_481,619,8873,0,S. FILIPPO NERI,6190,FR_merged_80001,8873_merged_85498
b_280,241,16754,1,PARCHEGGIO ORETO,2411,FR_merged_80003,16754_merged_97846
a_300,246,17136,1,OSPEDALE CIVICO,2461,FR_merged_80001,17136_merged_87041
a_181,134,15165,1,JOHN LENNON,1341,FE_merged_80002,15165_merged_87507
b_289,243,5552,0,BONAGIA,2430,FR_merged_80003,5552_merged_95424
b_106,106,13922,1,PARCHEGGIO EMIRI,1061,FE_merged_80004,13922_merged_92974
a_710,TRAM4,13084,0,CALATAFIMI,TRAM40,FR_merged_80001,13084_merged_86297
a_398,534,7696,0,BAIDA,5340,FE_merged_80002,7696_merged_82928
a_588,ARANC,20900,1,PORTA FELICE,ARANC1,FR_merged_80001,20900_merged_89379
a_669,TRAM1,11924,1,ROCCELLA,TRAM11,FE_merged_80002,11924_merged_89785
b_227,226,15891,1,VIALE DEI PICCIOTTI,2261,FR_merged_80003,15891_merged_102458
b_450,614,8422,0,PARTANNA - MONDELLO,6140,FE_merged_80004,8422_merged_101334
b_263,234,16353,1,VIA ORETO,2341,FR_merged_80003,16353_merged_100395
b_312,307,17389,1,PARCHEGGIO BASILE,3071,FE_merged_80004,17389_merged_96979
b_425,603,8057,0,MONDELLO,6030,FE_merged_80004,8057_merged_97125
a_76,102,13437,1,STAZ. NOTARBARTOLO,1021,FR_merged_80001,13437_merged_90126
b_331,309,17637,1,PARCHEGGIO BASILE,3091,FR_merged_80003,17637_merged_97321
a_479,619,8833,0,S. FILIPPO NERI,6190,FR_merged_80001,8833_merged_80740
a_146,109,14526,1,PARCHEGGIO BASILE,1091,FR_merged_80001,14526_merged_83567
a_121,107,14115,1,STAZIONE CENTRALE,1071,FR_merged_80001,14115_merged_88173
b_376,462,7252,0,BAIDA,4620,FR_merged_80003,7252_merged_102072
a_166,118,3227,0,STAZ. NOTARBARTOLO,1180,FR_merged_80001,3227_merged_88727
a_236,230,16004,1,STAZIONE CENTRALE,2301,FR_merged_80001,16004_merged_80531
b_6,100,13156,1,VIA ORETO,1001,FR_merged_80003,13156_merged_93575
b_374,462,18337,1,PARCHEGGIO EMIRI,4621,FE_merged_80004,18337_merged_92735
